ownername,car_no,dealername,ownercity,model,price_in_usd
Laura Wilson,BMW6540,Lithia Motors,Los Angeles,BMW X7,79425.44
Michael Davis,BMW5135,Penske Automotive,San Antonio,BMW 3 Series,84063.62
Laura Wilson,BMW3409,Penske Automotive,Chicago,BMW X5,97403.27
John Moore,BMW9630,AutoNation,Houston,BMW 3 Series,57304.76
John Smith,BMW1720,CarMax,Phoenix,BMW X7,56989.34
Sarah Moore,BMW9661,Sonic Automotive,San Jose,BMW X1,74662.9
Sarah Johnson,BMW3410,Penske Automotive,Chicago,BMW X5,90304.15
Laura Davis,BMW8375,Group 1 Automotive,Houston,BMW Z4,68374.34
David Jones,BMW6091,CarMax,Philadelphia,BMW X5,41285.6
David Wilson,BMW9762,Hendrick Automotive,Phoenix,BMW Z4,62635.03
Katie Brown,BMW2019,AutoNation,San Diego,BMW X7,75908.68
Sarah Brown,BMW7121,Sonic Automotive,San Jose,BMW X7,72201.83
John Wilson,BMW7788,Penske Automotive,New York,BMW X5,46097.66
Michael Brown,BMW5530,Penske Automotive,Los Angeles,BMW X1,71381.52
John Brown,BMW2960,Hendrick Automotive,Phoenix,BMW Z4,47173.39
David Jones,BMW4426,Penske Automotive,Dallas,BMW X1,99460.98
Sarah Johnson,BMW7048,AutoNation,Houston,BMW X3,77940.19
Jane Johnson,BMW5356,AutoNation,Los Angeles,BMW Z4,55562.23
Michael Moore,BMW5825,Group 1 Automotive,San Diego,BMW X1,44627.43
Michael Johnson,BMW5040,Penske Automotive,San Antonio,BMW X3,39316.28
Chris Williams,BMW1894,AutoNation,New York,BMW 5 Series,44567.21
Katie Brown,BMW6917,Sonic Automotive,Los Angeles,BMW X5,72809.15
Emily Davis,BMW4664,Lithia Motors,Dallas,BMW X1,77940.62
Jane Smith,BMW8410,Penske Automotive,San Jose,BMW Z4,94445.84
David Smith,BMW1281,Lithia Motors,San Diego,BMW X7,49601.07
Chris Williams,BMW5370,Penske Automotive,Dallas,BMW 5 Series,69354.11
Emily Williams,BMW8917,Group 1 Automotive,San Diego,BMW X7,51340.86
Katie Smith,BMW1096,CarMax,San Diego,BMW 5 Series,68706.27
Michael Wilson,BMW2288,Lithia Motors,Chicago,BMW X1,35758.78
Chris Davis,BMW7442,Hendrick Automotive,San Diego,BMW X3,95982.06
Laura Davis,BMW5150,Sonic Automotive,Dallas,BMW X5,65113.99
David Moore,BMW7467,CarMax,San Diego,BMW 5 Series,77143.47
Jane Taylor,BMW2062,Sonic Automotive,Phoenix,BMW X7,75821.28
Emily Brown,BMW4418,Sonic Automotive,Philadelphia,BMW 7 Series,45777.55
John Jones,BMW8427,Hendrick Automotive,San Jose,BMW Z4,63501.52
Jane Williams,BMW3545,AutoNation,San Jose,BMW X5,69248.31
John Moore,BMW7261,Penske Automotive,San Antonio,BMW X5,81127.48
Jane Moore,BMW9347,Lithia Motors,Philadelphia,BMW Z4,58321.47
Michael Wilson,BMW1216,Hendrick Automotive,New York,BMW 3 Series,94917.26
Jane Jones,BMW6399,CarMax,Dallas,BMW 7 Series,99895.86
Emily Smith,BMW6592,Lithia Motors,Dallas,BMW X3,71417.81
Jane Brown,BMW3671,Lithia Motors,Dallas,BMW 5 Series,75510.14
Alex Smith,BMW3657,Sonic Automotive,San Jose,BMW X3,35962.47
Katie Miller,BMW9659,Sonic Automotive,San Jose,BMW 3 Series,51772.82
Jane Moore,BMW9745,Penske Automotive,San Antonio,BMW X5,71359.23
John Moore,BMW6517,Group 1 Automotive,Houston,BMW Z4,47125.84
Sarah Wilson,BMW9270,Lithia Motors,Phoenix,BMW 5 Series,99916.07
Emily Williams,BMW8909,Group 1 Automotive,Houston,BMW 3 Series,43313.16
Chris Williams,BMW3812,Group 1 Automotive,Phoenix,BMW 3 Series,97438.87
Chris Brown,BMW5396,Penske Automotive,Chicago,BMW X1,71322.05
John Miller,BMW8652,Group 1 Automotive,Los Angeles,BMW X1,49240.42
Laura Johnson,BMW5442,Penske Automotive,Dallas,BMW Z4,43413.92
Jane Jones,BMW4396,CarMax,San Diego,BMW X3,53017.43
Alex Williams,BMW7209,Group 1 Automotive,San Jose,BMW Z4,37808.08
Alex Williams,BMW1492,AutoNation,San Antonio,BMW X5,95054.27
Jane Moore,BMW7461,AutoNation,Los Angeles,BMW X1,73352.63
Emily Taylor,BMW5664,Group 1 Automotive,San Diego,BMW 5 Series,81879.26
Katie Johnson,BMW9155,Sonic Automotive,San Jose,BMW 5 Series,88916.88
Alex Wilson,BMW4924,Lithia Motors,San Jose,BMW X7,79976.23
Laura Taylor,BMW8710,Group 1 Automotive,San Antonio,BMW X5,63401.26
Michael Brown,BMW7366,Group 1 Automotive,New York,BMW 5 Series,67537.03
Katie Davis,BMW9837,CarMax,San Antonio,BMW X1,77005.69
Katie Brown,BMW8786,Lithia Motors,San Diego,BMW 7 Series,86239.42
Jane Taylor,BMW4870,AutoNation,Los Angeles,BMW 7 Series,47736.33
Michael Moore,BMW3469,Sonic Automotive,Houston,BMW X5,84322.35
Laura Brown,BMW5549,Group 1 Automotive,New York,BMW X3,76666.47
Laura Brown,BMW3447,Sonic Automotive,Chicago,BMW X1,81240.13
David Davis,BMW3248,Hendrick Automotive,San Jose,BMW X1,64841.07
Chris Miller,BMW1709,AutoNation,Philadelphia,BMW 5 Series,76396.57
Katie Jones,BMW7232,Group 1 Automotive,Los Angeles,BMW X5,59579.33
Chris Williams,BMW3473,CarMax,Dallas,BMW 7 Series,84587.7
Laura Johnson,BMW2687,CarMax,Phoenix,BMW 3 Series,57476.09
Laura Johnson,BMW4393,Hendrick Automotive,Philadelphia,BMW X5,78485.16
Michael Moore,BMW9678,Hendrick Automotive,Los Angeles,BMW X1,64706.56
Katie Moore,BMW1095,Sonic Automotive,Houston,BMW X1,67954.41
Chris Miller,BMW2629,Group 1 Automotive,San Jose,BMW Z4,91135.59
John Williams,BMW1213,Group 1 Automotive,Dallas,BMW Z4,48156.87
Michael Taylor,BMW8674,Sonic Automotive,Chicago,BMW 7 Series,80971.0
Jane Brown,BMW5365,Group 1 Automotive,Dallas,BMW 3 Series,63928.61
Chris Moore,BMW4749,CarMax,Phoenix,BMW X7,55421.36
Jane Miller,BMW4660,Sonic Automotive,Chicago,BMW 3 Series,50737.72
Jane Miller,BMW1370,AutoNation,Houston,BMW X3,38315.48
Jane Williams,BMW3027,Group 1 Automotive,Dallas,BMW X7,41843.99
Alex Johnson,BMW3715,Penske Automotive,San Antonio,BMW 3 Series,72871.39
Chris Davis,BMW7493,Penske Automotive,Chicago,BMW Z4,77280.77
Chris Williams,BMW6857,CarMax,Houston,BMW 3 Series,83552.04
Jane Davis,BMW1343,Group 1 Automotive,Philadelphia,BMW X7,90047.04
David Moore,BMW8463,Penske Automotive,San Jose,BMW 5 Series,77470.43
Sarah Miller,BMW9650,Group 1 Automotive,Philadelphia,BMW X7,81302.07
Jane Brown,BMW8711,CarMax,San Jose,BMW X5,67376.57
Sarah Taylor,BMW9334,Sonic Automotive,New York,BMW X3,94045.68
Alex Smith,BMW1632,Sonic Automotive,Dallas,BMW 3 Series,54615.98
Laura Miller,BMW8291,Lithia Motors,San Jose,BMW 5 Series,64675.92
Laura Williams,BMW3462,Group 1 Automotive,New York,BMW X7,45234.72
Laura Wilson,BMW4452,Sonic Automotive,Chicago,BMW X5,48007.75
Sarah Miller,BMW7744,Hendrick Automotive,Philadelphia,BMW Z4,74701.17
Chris Miller,BMW2943,AutoNation,New York,BMW X3,98026.83
Alex Davis,BMW8867,Sonic Automotive,Phoenix,BMW 3 Series,70418.31
Sarah Brown,BMW8835,Sonic Automotive,San Jose,BMW 7 Series,82474.41
Sarah Moore,BMW9188,Hendrick Automotive,San Jose,BMW X3,71440.79
Katie Wilson,BMW3323,Hendrick Automotive,Dallas,BMW X5,51293.89
Laura Brown,BMW9096,Lithia Motors,Los Angeles,BMW 7 Series,66773.73
Jane Taylor,BMW1559,CarMax,Houston,BMW X7,54647.3
David Taylor,BMW7403,CarMax,San Diego,BMW X7,46405.12
Katie Smith,BMW9605,AutoNation,Chicago,BMW 7 Series,96274.61
Emily Brown,BMW6844,Hendrick Automotive,Phoenix,BMW X5,44846.48
Katie Johnson,BMW3319,Lithia Motors,Philadelphia,BMW Z4,40989.6
Chris Miller,BMW5174,Lithia Motors,San Diego,BMW X7,61050.09
Emily Moore,BMW9522,Group 1 Automotive,Houston,BMW X7,43182.79
David Brown,BMW2857,CarMax,San Antonio,BMW 5 Series,58666.39
John Miller,BMW3649,AutoNation,San Diego,BMW 5 Series,92989.57
Laura Smith,BMW3620,CarMax,Houston,BMW X7,54641.92
Emily Williams,BMW2108,Sonic Automotive,Philadelphia,BMW 5 Series,81284.13
Katie Williams,BMW7345,Sonic Automotive,Phoenix,BMW X3,40411.24
Chris Wilson,BMW1396,Penske Automotive,Chicago,BMW X3,77918.44
Sarah Johnson,BMW2437,CarMax,Los Angeles,BMW X5,75488.51
Emily Jones,BMW1241,CarMax,Dallas,BMW X7,36532.8
Chris Miller,BMW2679,Sonic Automotive,San Jose,BMW X1,60711.52
Katie Jones,BMW5252,Lithia Motors,Dallas,BMW X5,88184.48
Jane Miller,BMW1174,Penske Automotive,San Diego,BMW X5,52289.59
Michael Jones,BMW2469,Lithia Motors,Dallas,BMW Z4,94120.56
Katie Taylor,BMW8107,Lithia Motors,Philadelphia,BMW X5,36984.6
John Johnson,BMW1349,Hendrick Automotive,Houston,BMW X1,98388.21
David Moore,BMW2072,Penske Automotive,Los Angeles,BMW X5,75341.89
John Williams,BMW7801,Hendrick Automotive,San Diego,BMW X5,92106.47
Alex Moore,BMW8969,AutoNation,Los Angeles,BMW X7,94417.47
Emily Smith,BMW3102,Group 1 Automotive,Dallas,BMW X3,94382.47
Jane Jones,BMW1438,Penske Automotive,Chicago,BMW 5 Series,57195.24
Laura Brown,BMW8668,Group 1 Automotive,San Antonio,BMW X5,44499.23
Sarah Smith,BMW2319,Penske Automotive,Los Angeles,BMW 3 Series,59332.26
Sarah Williams,BMW8450,Hendrick Automotive,Dallas,BMW X3,51485.64
John Davis,BMW1762,Sonic Automotive,Philadelphia,BMW X1,48871.25
John Davis,BMW4552,Hendrick Automotive,Houston,BMW X7,62207.98
Alex Smith,BMW3052,AutoNation,Philadelphia,BMW 3 Series,94816.27
Sarah Davis,BMW1009,Group 1 Automotive,San Antonio,BMW 5 Series,37608.2
Katie Jones,BMW3048,Hendrick Automotive,Dallas,BMW Z4,79896.48
Emily Moore,BMW6091,CarMax,San Antonio,BMW 5 Series,63121.78
Jane Williams,BMW3034,AutoNation,Chicago,BMW X3,46607.98
Laura Johnson,BMW5116,Lithia Motors,San Antonio,BMW X7,49369.38
Katie Jones,BMW4856,Hendrick Automotive,Dallas,BMW X7,91645.54
Michael Miller,BMW4930,Penske Automotive,Houston,BMW X3,49492.78
Jane Williams,BMW9604,CarMax,San Diego,BMW 3 Series,59689.87
Emily Johnson,BMW1027,Lithia Motors,Chicago,BMW X1,88314.75
Laura Taylor,BMW3473,Sonic Automotive,New York,BMW 7 Series,80499.55
John Taylor,BMW2631,Group 1 Automotive,Philadelphia,BMW 7 Series,51724.75
Jane Johnson,BMW8130,Sonic Automotive,Dallas,BMW Z4,49469.8
Katie Moore,BMW2498,Hendrick Automotive,Houston,BMW 7 Series,72318.85
Alex Smith,BMW8867,Sonic Automotive,San Jose,BMW X7,48363.97
Laura Miller,BMW8420,Group 1 Automotive,Dallas,BMW Z4,95324.11
John Moore,BMW5318,Penske Automotive,San Diego,BMW 7 Series,81242.34
Chris Brown,BMW2726,Group 1 Automotive,Dallas,BMW X3,99598.92
David Johnson,BMW2371,CarMax,San Diego,BMW X1,58225.13
David Smith,BMW9388,CarMax,Phoenix,BMW 3 Series,70447.37
David Miller,BMW5738,CarMax,Dallas,BMW X3,82764.55
Michael Jones,BMW7698,Sonic Automotive,Phoenix,BMW 7 Series,51776.08
Sarah Williams,BMW6614,AutoNation,San Antonio,BMW 7 Series,74183.0
Alex Brown,BMW8070,Hendrick Automotive,San Antonio,BMW 3 Series,40193.76
Katie Jones,BMW2324,Lithia Motors,Los Angeles,BMW 3 Series,93030.36
Alex Brown,BMW5561,AutoNation,San Antonio,BMW X5,64854.41
Sarah Wilson,BMW9016,Group 1 Automotive,Chicago,BMW 3 Series,49525.59
Jane Williams,BMW6955,Sonic Automotive,San Antonio,BMW 7 Series,98677.04
David Taylor,BMW5742,Group 1 Automotive,Dallas,BMW X5,72730.53
Laura Davis,BMW5316,Sonic Automotive,Los Angeles,BMW X1,46140.49
Sarah Smith,BMW7143,Lithia Motors,Philadelphia,BMW X1,84728.99
John Williams,BMW2809,Penske Automotive,Los Angeles,BMW 3 Series,63227.61
Katie Moore,BMW9537,Group 1 Automotive,Chicago,BMW X3,64575.37
John Jones,BMW9985,Sonic Automotive,Phoenix,BMW X5,86933.31
Sarah Smith,BMW2977,Group 1 Automotive,San Jose,BMW X1,64991.82
Jane Smith,BMW9117,Penske Automotive,Phoenix,BMW X5,99653.68
Michael Williams,BMW3152,Sonic Automotive,Dallas,BMW Z4,76976.07
Michael Williams,BMW4676,Penske Automotive,Dallas,BMW X7,94897.9
Jane Moore,BMW2428,AutoNation,Philadelphia,BMW Z4,82692.89
John Davis,BMW6451,Lithia Motors,Chicago,BMW X1,67819.11
John Jones,BMW8168,Hendrick Automotive,San Diego,BMW 5 Series,89300.38
John Wilson,BMW8598,CarMax,San Jose,BMW Z4,97874.37
Alex Smith,BMW6474,Group 1 Automotive,Philadelphia,BMW X5,60785.76
David Williams,BMW1340,Hendrick Automotive,Chicago,BMW X1,85264.82
Chris Miller,BMW3030,Sonic Automotive,Houston,BMW 5 Series,49812.67
Michael Johnson,BMW6298,Sonic Automotive,Houston,BMW X7,39839.45
Jane Jones,BMW3147,Penske Automotive,San Jose,BMW X7,59310.89
David Williams,BMW8845,CarMax,Dallas,BMW 3 Series,85653.3
Alex Johnson,BMW3595,Penske Automotive,San Antonio,BMW X1,36488.6
Sarah Johnson,BMW6779,Hendrick Automotive,San Antonio,BMW 7 Series,73295.89
Alex Taylor,BMW4521,Lithia Motors,Philadelphia,BMW 5 Series,37908.83
Chris Moore,BMW7977,Lithia Motors,Los Angeles,BMW X3,82274.21
Alex Johnson,BMW9886,Lithia Motors,Philadelphia,BMW 7 Series,45691.71
Emily Jones,BMW9643,Group 1 Automotive,Houston,BMW 5 Series,54779.6
Michael Moore,BMW4688,Group 1 Automotive,Dallas,BMW 7 Series,78840.38
Sarah Williams,BMW2862,Lithia Motors,New York,BMW Z4,53505.17
Sarah Williams,BMW4839,Penske Automotive,Houston,BMW Z4,55476.89
Sarah Williams,BMW8458,Group 1 Automotive,Los Angeles,BMW X5,52322.76
David Davis,BMW9121,Sonic Automotive,San Jose,BMW X3,52561.86
Alex Brown,BMW6005,AutoNation,Philadelphia,BMW X5,69702.75
Laura Davis,BMW2698,Lithia Motors,Philadelphia,BMW Z4,90281.52
David Smith,BMW2877,Sonic Automotive,Chicago,BMW X7,79962.26
Emily Wilson,BMW5468,Penske Automotive,New York,BMW X1,47293.05
David Brown,BMW1167,Lithia Motors,Phoenix,BMW 3 Series,90695.4
David Jones,BMW8365,Hendrick Automotive,Phoenix,BMW X3,55139.73
Chris Smith,BMW1389,Lithia Motors,Houston,BMW Z4,38250.53
Alex Smith,BMW4133,CarMax,Philadelphia,BMW X1,96675.82
John Johnson,BMW4361,Group 1 Automotive,New York,BMW X1,70769.07
Sarah Johnson,BMW7905,AutoNation,Los Angeles,BMW 3 Series,71851.62
David Smith,BMW4046,CarMax,Philadelphia,BMW X7,98718.66
Jane Wilson,BMW8100,AutoNation,San Diego,BMW 7 Series,77393.99
Sarah Brown,BMW1985,CarMax,San Antonio,BMW 3 Series,97818.23
Laura Smith,BMW1770,CarMax,Philadelphia,BMW 7 Series,49594.86
Laura Wilson,BMW7164,AutoNation,Phoenix,BMW 7 Series,93454.86
Michael Taylor,BMW5693,Group 1 Automotive,New York,BMW X5,46958.82
Laura Williams,BMW2345,CarMax,Dallas,BMW X3,55874.27
Emily Johnson,BMW2669,CarMax,San Diego,BMW 5 Series,90687.11
Sarah Taylor,BMW3176,Hendrick Automotive,Philadelphia,BMW X5,76711.87
Katie Johnson,BMW4997,AutoNation,San Jose,BMW Z4,85400.63
Katie Smith,BMW7513,CarMax,Phoenix,BMW X3,79793.13
John Davis,BMW3248,Penske Automotive,San Diego,BMW 3 Series,90837.01
Michael Smith,BMW5528,Penske Automotive,Dallas,BMW X1,76995.39
John Johnson,BMW9837,Lithia Motors,San Jose,BMW X1,81074.46
David Wilson,BMW1075,Lithia Motors,Dallas,BMW X7,88781.66
David Smith,BMW7450,Lithia Motors,San Antonio,BMW X5,43309.05
Laura Jones,BMW4887,AutoNation,New York,BMW 3 Series,94239.29
Jane Brown,BMW6590,Hendrick Automotive,San Jose,BMW X1,83095.93
Emily Johnson,BMW2124,Group 1 Automotive,Los Angeles,BMW 7 Series,96183.43
Michael Davis,BMW5356,AutoNation,San Jose,BMW 7 Series,87354.72
Chris Wilson,BMW8279,Penske Automotive,San Jose,BMW Z4,92603.52
Michael Wilson,BMW5521,Lithia Motors,Dallas,BMW 3 Series,38340.71
Emily Williams,BMW2236,Group 1 Automotive,Phoenix,BMW X1,60346.05
John Brown,BMW3607,Penske Automotive,New York,BMW X7,82858.62
David Wilson,BMW3911,AutoNation,Chicago,BMW 5 Series,41123.52
Sarah Brown,BMW9824,Lithia Motors,Philadelphia,BMW X1,72068.29
Alex Jones,BMW1516,AutoNation,Philadelphia,BMW X7,47226.25
Michael Brown,BMW8837,Group 1 Automotive,San Antonio,BMW Z4,78092.56
John Miller,BMW7351,Group 1 Automotive,New York,BMW X7,48883.62
Sarah Davis,BMW1461,CarMax,New York,BMW 5 Series,75827.8
Sarah Taylor,BMW7429,CarMax,Dallas,BMW X3,85337.39
Chris Jones,BMW1980,Group 1 Automotive,Phoenix,BMW 3 Series,61817.29
Emily Smith,BMW6250,Lithia Motors,Philadelphia,BMW 5 Series,66929.01
Sarah Davis,BMW5910,AutoNation,Chicago,BMW 3 Series,56953.21
David Jones,BMW7018,Lithia Motors,Los Angeles,BMW X5,52683.28
Laura Brown,BMW4351,Group 1 Automotive,New York,BMW 7 Series,62076.78
Emily Johnson,BMW4092,Group 1 Automotive,Los Angeles,BMW X1,38895.32
David Brown,BMW1195,AutoNation,Chicago,BMW 3 Series,86820.9
David Moore,BMW1655,AutoNation,San Jose,BMW X7,78315.36
Jane Moore,BMW4139,AutoNation,Houston,BMW 5 Series,88038.29
Sarah Wilson,BMW3980,Group 1 Automotive,San Jose,BMW X7,49433.13
Sarah Johnson,BMW1995,Hendrick Automotive,San Antonio,BMW 3 Series,77919.36
Alex Smith,BMW7853,Penske Automotive,Los Angeles,BMW 5 Series,48273.21
Michael Moore,BMW7400,Hendrick Automotive,San Diego,BMW X7,74044.77
Katie Williams,BMW3173,AutoNation,Houston,BMW 5 Series,67656.51
Alex Wilson,BMW6248,Group 1 Automotive,Philadelphia,BMW 5 Series,77868.25
David Wilson,BMW1545,Penske Automotive,Phoenix,BMW X3,68621.59
Katie Johnson,BMW3138,CarMax,Chicago,BMW Z4,75285.11
Laura Brown,BMW7070,Sonic Automotive,Philadelphia,BMW 7 Series,36972.67
John Johnson,BMW6456,Sonic Automotive,Phoenix,BMW 3 Series,76191.22
Emily Moore,BMW9810,Sonic Automotive,Houston,BMW X7,70777.38
Michael Brown,BMW3961,Lithia Motors,Phoenix,BMW Z4,53116.77
Katie Moore,BMW6093,Penske Automotive,Phoenix,BMW 3 Series,58000.13
John Williams,BMW4165,Hendrick Automotive,San Antonio,BMW 3 Series,73201.83
John Taylor,BMW3223,CarMax,San Antonio,BMW Z4,46159.63
John Brown,BMW9887,Penske Automotive,San Jose,BMW 5 Series,88992.49
Jane Brown,BMW8814,Group 1 Automotive,Phoenix,BMW X7,92316.71
Michael Smith,BMW4052,Lithia Motors,New York,BMW Z4,42026.92
Michael Jones,BMW6450,AutoNation,Houston,BMW X7,65386.32
John Johnson,BMW7285,AutoNation,San Diego,BMW X5,59664.18
Laura Johnson,BMW5453,Penske Automotive,Los Angeles,BMW Z4,46480.25
Michael Wilson,BMW4464,Penske Automotive,Dallas,BMW X3,54208.29
Alex Jones,BMW7897,Penske Automotive,New York,BMW X3,57247.09
David Miller,BMW5440,CarMax,Dallas,BMW 3 Series,49968.65
Emily Moore,BMW8672,Sonic Automotive,Houston,BMW Z4,61970.5
Emily Taylor,BMW9892,Penske Automotive,San Jose,BMW X1,69021.69
Alex Moore,BMW4066,Penske Automotive,San Diego,BMW X1,39808.9
Michael Smith,BMW2321,Penske Automotive,San Jose,BMW 7 Series,53988.09
Chris Davis,BMW3962,Lithia Motors,Dallas,BMW X3,56811.3
Alex Davis,BMW1010,Group 1 Automotive,Houston,BMW X3,53551.58
Emily Williams,BMW3842,Sonic Automotive,Chicago,BMW X5,91128.09
Laura Brown,BMW8124,Sonic Automotive,Houston,BMW 7 Series,91830.78
John Smith,BMW2326,Sonic Automotive,San Jose,BMW X1,69291.51
David Smith,BMW2574,Group 1 Automotive,Dallas,BMW Z4,53027.38
Michael Brown,BMW2389,CarMax,Chicago,BMW X1,46200.72
Alex Taylor,BMW3365,Penske Automotive,Chicago,BMW X7,36926.35
Michael Miller,BMW4463,Hendrick Automotive,Chicago,BMW 3 Series,42478.61
John Williams,BMW6490,Hendrick Automotive,Los Angeles,BMW 7 Series,95022.47
Jane Johnson,BMW8233,Hendrick Automotive,Los Angeles,BMW X7,40846.58
John Miller,BMW9444,Penske Automotive,Phoenix,BMW 7 Series,99487.81
Laura Wilson,BMW3529,Group 1 Automotive,Phoenix,BMW 7 Series,67049.68
David Jones,BMW3088,CarMax,San Diego,BMW 3 Series,37359.2
Emily Taylor,BMW3665,Hendrick Automotive,Philadelphia,BMW Z4,38548.22
Michael Wilson,BMW6552,Lithia Motors,San Antonio,BMW X1,75920.42
Alex Miller,BMW2976,Sonic Automotive,Chicago,BMW X3,40689.12
Alex Wilson,BMW2953,CarMax,San Diego,BMW X3,71142.64
Michael Smith,BMW6679,Hendrick Automotive,Philadelphia,BMW 3 Series,84540.11
Chris Wilson,BMW7901,Lithia Motors,Philadelphia,BMW 3 Series,49987.02
Jane Miller,BMW3466,AutoNation,Phoenix,BMW 7 Series,59668.72
Chris Williams,BMW9306,Group 1 Automotive,Philadelphia,BMW 5 Series,46792.03
John Williams,BMW6321,Hendrick Automotive,San Diego,BMW X5,39593.39
Jane Smith,BMW2781,Lithia Motors,Dallas,BMW 5 Series,93085.04
Michael Moore,BMW3812,Penske Automotive,Dallas,BMW X5,58945.12
John Moore,BMW1269,Group 1 Automotive,New York,BMW X1,80267.67
Jane Williams,BMW6635,CarMax,Dallas,BMW X5,72196.89
Chris Smith,BMW5712,AutoNation,Chicago,BMW 5 Series,84643.7
Chris Wilson,BMW3582,Penske Automotive,San Diego,BMW X7,43773.83
John Taylor,BMW3234,Hendrick Automotive,Chicago,BMW X5,73004.05
John Davis,BMW3520,Sonic Automotive,Los Angeles,BMW 7 Series,76673.43
Michael Davis,BMW3081,AutoNation,Chicago,BMW 5 Series,97305.99
Alex Taylor,BMW4079,Group 1 Automotive,Dallas,BMW 7 Series,70967.43
Emily Wilson,BMW7075,Group 1 Automotive,Los Angeles,BMW X3,93197.64
David Moore,BMW6305,Lithia Motors,San Diego,BMW X3,71678.88
Alex Smith,BMW3693,Group 1 Automotive,New York,BMW 5 Series,60453.57
Jane Smith,BMW7920,Sonic Automotive,Houston,BMW X3,55033.81
Laura Smith,BMW2447,Lithia Motors,Houston,BMW Z4,77575.85
Alex Wilson,BMW1000,Hendrick Automotive,Los Angeles,BMW X3,53337.21
Jane Johnson,BMW8206,Hendrick Automotive,New York,BMW X5,72992.73
Alex Davis,BMW8397,Group 1 Automotive,Dallas,BMW 5 Series,85938.1
Sarah Johnson,BMW9690,Penske Automotive,San Antonio,BMW X5,76489.03
Michael Davis,BMW4647,AutoNation,Phoenix,BMW 3 Series,80531.91
Sarah Davis,BMW2058,Lithia Motors,San Diego,BMW X1,65339.6
Sarah Brown,BMW1202,AutoNation,Phoenix,BMW 7 Series,53438.49
David Brown,BMW2924,AutoNation,New York,BMW 7 Series,84565.68
John Brown,BMW3197,Hendrick Automotive,Houston,BMW 5 Series,39451.0
Laura Brown,BMW7160,AutoNation,San Antonio,BMW X3,98954.38
Jane Taylor,BMW9557,Sonic Automotive,New York,BMW 3 Series,57157.08
Alex Wilson,BMW8586,Group 1 Automotive,New York,BMW 3 Series,92664.57
Sarah Wilson,BMW5903,Penske Automotive,Los Angeles,BMW 3 Series,61637.4
Chris Jones,BMW5766,Group 1 Automotive,New York,BMW 5 Series,70388.46
Chris Davis,BMW6161,Hendrick Automotive,Chicago,BMW 5 Series,36151.69
Laura Davis,BMW9767,Lithia Motors,New York,BMW 5 Series,51251.77
Katie Wilson,BMW9990,AutoNation,Houston,BMW X7,77295.81
Alex Smith,BMW7608,Group 1 Automotive,Dallas,BMW X3,72156.78
Jane Johnson,BMW5547,Lithia Motors,New York,BMW X3,66480.83
Sarah Jones,BMW7095,Group 1 Automotive,San Diego,BMW X7,52319.69
David Jones,BMW1791,AutoNation,Houston,BMW 5 Series,45409.4
Sarah Moore,BMW1382,Group 1 Automotive,San Antonio,BMW 7 Series,39978.81
Chris Miller,BMW6347,Penske Automotive,Chicago,BMW Z4,91373.25
Laura Miller,BMW1924,Penske Automotive,San Antonio,BMW X5,65582.47
Katie Wilson,BMW3966,Group 1 Automotive,Philadelphia,BMW X1,77799.37
Katie Jones,BMW7560,Group 1 Automotive,Houston,BMW 7 Series,89827.58
Jane Taylor,BMW6568,Group 1 Automotive,San Antonio,BMW X5,77330.91
Michael Moore,BMW1625,Sonic Automotive,Chicago,BMW X7,37545.05
Jane Brown,BMW8878,Sonic Automotive,Los Angeles,BMW X7,51800.43
John Taylor,BMW7683,Sonic Automotive,San Diego,BMW X7,61034.58
Emily Williams,BMW6884,Sonic Automotive,San Antonio,BMW 5 Series,69905.89
John Davis,BMW9395,Penske Automotive,Philadelphia,BMW X1,99770.13
Alex Jones,BMW5965,Hendrick Automotive,Philadelphia,BMW 5 Series,58807.96
John Moore,BMW7610,Lithia Motors,San Antonio,BMW 5 Series,89015.95
John Wilson,BMW3929,Sonic Automotive,Phoenix,BMW 5 Series,85132.17
Jane Jones,BMW8445,Sonic Automotive,San Antonio,BMW 7 Series,37263.37
